subset,references,metric,value
1size,"[0, 1, 2]",bleu,52.16
2size,"[0, 1, 2]",bleu,48.16
3size,"[0, 1, 2]",bleu,43.42
4size,"[0, 1, 2]",bleu,42.44
5size,"[0, 1, 2]",bleu,38.68
6size,"[0, 1, 2]",bleu,49.71
7size,"[0, 1, 2]",bleu,44.44
all-cat,"[0, 1, 2]",bleu,44.28
new-cat,"[0, 1, 2]",bleu,29.88
old-cat,"[0, 1, 2]",bleu,54.29
1size,"[0, 1, 2]",bleu_1,88.4
2size,"[0, 1, 2]",bleu_1,76.7
3size,"[0, 1, 2]",bleu_1,73.2
4size,"[0, 1, 2]",bleu_1,72.2
5size,"[0, 1, 2]",bleu_1,71.2
6size,"[0, 1, 2]",bleu_1,78.6
7size,"[0, 1, 2]",bleu_1,75.8
all-cat,"[0, 1, 2]",bleu_1,74.4
new-cat,"[0, 1, 2]",bleu_1,65.0
old-cat,"[0, 1, 2]",bleu_1,81.8
1size,"[0, 1, 2]",bleu_2,70.9
2size,"[0, 1, 2]",bleu_2,57.7
3size,"[0, 1, 2]",bleu_2,51.9
4size,"[0, 1, 2]",bleu_2,50.5
5size,"[0, 1, 2]",bleu_2,47.8
6size,"[0, 1, 2]",bleu_2,59.2
7size,"[0, 1, 2]",bleu_2,53.5
all-cat,"[0, 1, 2]",bleu_2,53.0
new-cat,"[0, 1, 2]",bleu_2,40.6
old-cat,"[0, 1, 2]",bleu_2,62.6
1size,"[0, 1, 2]",bleu_3,56.0
2size,"[0, 1, 2]",bleu_3,43.6
3size,"[0, 1, 2]",bleu_3,36.8
4size,"[0, 1, 2]",bleu_3,35.3
5size,"[0, 1, 2]",bleu_3,31.4
6size,"[0, 1, 2]",bleu_3,42.8
7size,"[0, 1, 2]",bleu_3,37.0
all-cat,"[0, 1, 2]",bleu_3,37.5
new-cat,"[0, 1, 2]",bleu_3,24.5
old-cat,"[0, 1, 2]",bleu_3,47.4
1size,"[0, 1, 2]",bleu_4,45.7
2size,"[0, 1, 2]",bleu_4,33.6
3size,"[0, 1, 2]",bleu_4,26.2
4size,"[0, 1, 2]",bleu_4,25.2
5size,"[0, 1, 2]",bleu_4,20.9
6size,"[0, 1, 2]",bleu_4,30.7
7size,"[0, 1, 2]",bleu_4,26.0
all-cat,"[0, 1, 2]",bleu_4,26.8
new-cat,"[0, 1, 2]",bleu_4,14.9
old-cat,"[0, 1, 2]",bleu_4,35.8
1size,"[0, 1, 2]",ter,0.3670699523597355
2size,"[0, 1, 2]",ter,0.4644330747648129
3size,"[0, 1, 2]",ter,0.5358547492053228
4size,"[0, 1, 2]",ter,0.5735843462792767
5size,"[0, 1, 2]",ter,0.6152791582410799
6size,"[0, 1, 2]",ter,0.5657142857142857
7size,"[0, 1, 2]",ter,0.6362311801845556
all-cat,"[0, 1, 2]",ter,0.5376921744819221
new-cat,"[0, 1, 2]",ter,0.6170775312869836
old-cat,"[0, 1, 2]",ter,0.4704795474572899
1size,"[0, 1, 2]",meteor,0.4123541302987151
2size,"[0, 1, 2]",meteor,0.3997733863465098
3size,"[0, 1, 2]",meteor,0.3807555611147175
4size,"[0, 1, 2]",meteor,0.37272812721019694
5size,"[0, 1, 2]",meteor,0.3610445370846653
6size,"[0, 1, 2]",meteor,0.4040621855918025
7size,"[0, 1, 2]",meteor,0.3904954848594471
all-cat,"[0, 1, 2]",meteor,0.38046316060733293
new-cat,"[0, 1, 2]",meteor,0.3333286755084037
old-cat,"[0, 1, 2]",meteor,0.4210245525267204
1size,"[0, 1, 2]",avg_n_tokens,8.033039647577093
2size,"[0, 1, 2]",avg_n_tokens,15.98567335243553
3size,"[0, 1, 2]",avg_n_tokens,23.60621761658031
4size,"[0, 1, 2]",avg_n_tokens,31.418732782369148
5size,"[0, 1, 2]",avg_n_tokens,38.1811320754717
6size,"[0, 1, 2]",avg_n_tokens,49.208333333333336
7size,"[0, 1, 2]",avg_n_tokens,54.80952380952381
all-cat,"[0, 1, 2]",avg_n_tokens,22.660042964554243
new-cat,"[0, 1, 2]",avg_n_tokens,20.683501683501685
old-cat,"[0, 1, 2]",avg_n_tokens,24.473738414006178
1size,"[0, 1, 2]",macro_avg_n_stop_words,0.19385796545105566
1size,"[0, 1, 2]",avg_n_stop_words,0.18891311904996397
2size,"[0, 1, 2]",macro_avg_n_stop_words,0.20702634880803011
2size,"[0, 1, 2]",avg_n_stop_words,0.20983944608859006
3size,"[0, 1, 2]",macro_avg_n_stop_words,0.21784460052677787
3size,"[0, 1, 2]",avg_n_stop_words,0.21750678471964335
4size,"[0, 1, 2]",macro_avg_n_stop_words,0.21709776413853574
4size,"[0, 1, 2]",avg_n_stop_words,0.21890769434701368
5size,"[0, 1, 2]",macro_avg_n_stop_words,0.23463135006918362
5size,"[0, 1, 2]",avg_n_stop_words,0.23447924853212698
6size,"[0, 1, 2]",macro_avg_n_stop_words,0.3293818797629128
6size,"[0, 1, 2]",avg_n_stop_words,0.3231557738228858
7size,"[0, 1, 2]",macro_avg_n_stop_words,0.32232841007819285
7size,"[0, 1, 2]",avg_n_stop_words,0.31388626571132155
all-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.22413670514066314
all-cat,"[0, 1, 2]",avg_n_stop_words,0.21423522325244326
new-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.12225297086114277
new-cat,"[0, 1, 2]",avg_n_stop_words,0.1254848784276274
old-cat,"[0, 1, 2]",macro_avg_n_stop_words,0.3031476182460865
old-cat,"[0, 1, 2]",avg_n_stop_words,0.295673490233815
